X [px],Y [px],Diameter [m],Major [m],Minor [m], Timestep [-]
511.09375,1028.234375,0.003071187163976683,0.001753335820657298,0.0011778735076399334,0
277.296875,206.578125,0.003676915238890216,0.002038683153410554,0.0014950695635989652,0
574.953125,149.359375,0.003438454033386283,0.0019056527752977456,0.001399304202094741,0
1161.15625,475.171875,0.0038955913313363437,0.0022412820549854943,0.0014710829344397956,0
621.421875,127.1875,0.0039285048574396846,0.0022744345451122575,0.0014650249144639144,0
1230.859375,238.484375,0.004092008262273566,0.0022597237109876953,0.0016772926101309813,0
742.453125,521.859375,0.0030504646219046885,0.0016715385876491158,0.0012699165326902394,0
253.984375,929.84375,0.004277794683364938,0.002428248442808108,0.0016595241787934277,0
854.96875,947.1875,0.002974909908192397,0.0016715385876491158,0.0011778735076399334,0
601.421875,502.59375,0.0034081574032259637,0.0018880707746268413,0.0013881372410536358,0
729.75,187.828125,0.0033801014934002577,0.0019145767809100789,0.0013169026159895044,0
975.328125,378.609375,0.0033001790831695917,0.0020255537514467493,0.0010950526243062478,0
1225.21875,475.53125,0.002392207395275025,0.0013741857589132556,0.0009061823767873661,0
945.75,728.921875,0.005216360462215624,0.003103252849833542,0.0018423768615568315,0
1467.25,1005.65625,0.00411877626361828,0.0023456581166060838,0.0015873956658627995,0
630.609375,75.0625,0.003831251601654623,0.0023128856975648407,0.001314085708772453,0
81.125,1109.34375,0.0031321068354665947,0.0017170309403152875,0.0013027571723080247,0
64.09375,173.296875,0.004150894877975518,0.002531942189308437,0.0013945293112731622,0
828.546875,33.5,0.0031438058161196917,0.0019668941252644996,0.0010039571704012079,0
1399.765625,128.0625,0.003279388955005053,0.0018423768615568315,0.001298768840094341,0
662.65625,1010.296875,0.0013493168532340218,0.002374860259046835,5.444722215136417e-05,0
1326.703125,747.5,0.0034829064574044026,0.0019456789303479648,0.0013950606617634947,0
855.9375,397.109375,0.0028896592151336823,0.0015859944041515404,0.0011990756856846026,0
1006.671875,725.078125,0.00346021465500128,0.0022052805377094317,0.0010648573848173284,0
1032.015625,464.0,0.0037916904526620445,0.0021522154283435476,0.0014710829344397956,0
